sport,country,league,season,match_time,home_team,away_team,scraped_date
football,World,Olympic Games Women,2020,19.02. 03:00,South Korea W,China W,2020-12-15
football,World,Olympic Games Women,2020,24.02. 03:00,China W,South Korea W,2020-12-15
football,World,Arab Club Champions Cup,2019/2020,04.01. 09:00,Al-Ittihad FC,Al-Shabab,2020-12-15
football,World,Arab Club Champions Cup,2019/2020,11.01. 11:00,Raja Casablanca,El Ismaily,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Belgium,Wales,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Cyprus,Slovakia,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Estonia,Czech Republic,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Finland,Bosnia & Herzegovina,2020-12-15
football,World,World Cup,2022,24.03. 12:45,France,Ukraine,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Gibraltar,Norway,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Latvia,Montenegro,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Malta,Russia,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Portugal,Azerbaijan,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Serbia,Ireland,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Slovenia,Croatia,2020-12-15
football,World,World Cup,2022,24.03. 12:45,Turkey,Netherlands,2020-12-15
football,World,World Cup,2022,25.03. 12:45,Andorra,Albania,2020-12-15
football,World,World Cup,2022,25.03. 12:45,Bulgaria,Switzerland,2020-12-15
football,World,World Cup,2022,25.03. 12:45,England,San Marino,2020-12-15
football,World,World Cup,2022,25.03. 12:45,Germany,Iceland,2020-12-15
football,World,World Cup,2022,25.03. 12:45,Hungary,Poland,2020-12-15
football,World,World Cup,2022,25.03. 12:45,Israel,Denmark,2020-12-15
football,World,World Cup,2022,25.03. 12:45,Italy,Northern Ireland,2020-12-15
football,World,World Cup,2022,25.03. 12:45,Liechtenstein,Armenia,2020-12-15
football,World,World Cup,2022,25.03. 12:45,Moldova,Faroe Islands,2020-12-15
football,World,World Cup,2022,25.03. 12:45,Romania,North Macedonia,2020-12-15
